"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","39","Verify value of title with tag 'h1' on the page","tests","Tue Mar 10 10:31:37 UTC 2026","passed","Tue Mar 10 10:31:37 UTC 2026","TestURPage","used_resources_page_test","",""
"","91","Verify presence, visibility and attributes of the image in the section 1","tests","Tue Mar 10 10:28:01 UTC 2026","passed","Tue Mar 10 10:28:01 UTC 2026","TestStartUnauthorizedPage","start_unauthorized_page_test","",""
"","21","Verify the composition and visibility of elements on the 1st level of nesting in the section 1","tests","Tue Mar 10 10:11:28 UTC 2026","passed","Tue Mar 10 10:11:28 UTC 2026","TestContactsPage","contacts_page_test","",""
"","705","Verify redirection to specialists page not authorized user.","tests","Tue Mar 10 10:13:05 UTC 2026","passed","Tue Mar 10 10:13:05 UTC 2026","TestDescriptionPage","description_page_test","",""
"","279","Verify if external links in the Header for an authorized user 
            lead to correct pages after click","tests","Tue Mar 10 10:23:25 UTC 2026","broken","Tue Mar 10 10:23:25 UTC 2026","TestHeaderPage","header_test","",""
"","10337","Verify if links on the 'en' local lead to correct pages after clicking","tests","Tue Mar 10 10:21:26 UTC 2026","broken","Tue Mar 10 10:21:36 UTC 2026","TestGroupsPage","groups_page_test","",""
"","48","Verify presence and visibility of the Footer","tests","Tue Mar 10 10:19:15 UTC 2026","passed","Tue Mar 10 10:19:15 UTC 2026","TestFooter","footer_test","",""
"","772","Verify clickability, status code of links on the page","tests","Tue Mar 10 10:20:49 UTC 2026","passed","Tue Mar 10 10:20:50 UTC 2026","TestGroupsPage","groups_page_test","",""
"","737","Check registration with new email and empty password","tests","Tue Mar 10 10:25:35 UTC 2026","passed","Tue Mar 10 10:25:36 UTC 2026","TestRegistrationPage","registration_page_test","",""
"","30","Verify presence and visibility of content on the page","tests","Tue Mar 10 10:16:33 UTC 2026","passed","Tue Mar 10 10:16:33 UTC 2026","TestExercisesRuWordsPage","exercises_ru_words_page_test","",""
"","1247","Check registration with an existing email","tests","Tue Mar 10 10:25:17 UTC 2026","passed","Tue Mar 10 10:25:18 UTC 2026","TestRegistrationPage","registration_page_test","",""
"","58","Verify size of the image in the 'Logo' link in the Header for an authorized user","tests","Tue Mar 10 10:23:53 UTC 2026","failed","Tue Mar 10 10:23:53 UTC 2026","TestHeaderPage","header_test","",""
